content_no,push_type,delivery_scene,source_image,bucket,endpoint,object_key,object_url,access,size_bytes,width,height,sha256,status,note
AM-0830-02,greeting,GREETING_0830,图片和附件/image 86.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0830-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0830-02/v1.png,private-signed-url,2628113,1254,1254,2a9b730d30439f24ffdf1b6c0eba574c59dfc2616e33feeae26097874c897f74,UPLOADED_VERIFIED_PRIVATE,
AM-0830-03,greeting,GREETING_0830,图片和附件/image 59.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0830-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0830-03/v1.png,private-signed-url,2680929,1254,1254,c1c0af37b521cf5dde8002e54b59616af9d59874c119701d62eaa9757a09fed0,UPLOADED_VERIFIED_PRIVATE,
AM-0830-04,greeting,GREETING_0830,图片和附件/image 89.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0830-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0830-04/v1.png,private-signed-url,2548839,1254,1254,f59c4a8e3ce478b668e75c3ad9981bcc227450ea371cdba1207f73fd9a7f58d0,UPLOADED_VERIFIED_PRIVATE,
AM-0900-01,greeting,GREETING_0900,图片和附件/image 24.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0900-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0900-01/v1.png,private-signed-url,2813101,1254,1254,43044a68d07223a707e7466a2e7758bc023b42df472c5627bf396d75b206b0e2,UPLOADED_VERIFIED_PRIVATE,
AM-0900-02,greeting,GREETING_0900,图片和附件/image 108.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0900-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0900-02/v1.png,private-signed-url,2792215,1254,1254,864d0086d7116f05b898ed80c082448054481d57dab0cf8e4dd1c700b5b575a4,UPLOADED_VERIFIED_PRIVATE,
AM-0900-03,greeting,GREETING_0900,图片和附件/image 40.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0900-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0900-03/v1.png,private-signed-url,2687119,1254,1254,d1d9b172c0700f0889e3e2714c5fb674edabb3b674f110530d5953fc5952b039,UPLOADED_VERIFIED_PRIVATE,
AM-0900-04,greeting,GREETING_0900,图片和附件/image 7.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0900-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0900-04/v1.png,private-signed-url,2703606,1254,1254,05601d1c5957555957e4bc59fc2d0dcceea0a52428a61feb3d2903b19eac45f9,UPLOADED_VERIFIED_PRIVATE,
NOON-1100-01,greeting,GREETING_1100,图片和附件/image 76.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1100-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1100-01/v1.png,private-signed-url,2833028,1254,1254,fd21ac760e1be9f5a115798eaeed596154f8c5a8db8a4efaf514e2f619bc0aee,UPLOADED_VERIFIED_PRIVATE,
NOON-1100-02,greeting,GREETING_1100,图片和附件/image 45.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1100-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1100-02/v1.png,private-signed-url,2693927,1254,1254,1c141b8c6e0b167856460bd9574e24a4d7a4d4ac4ded542bf089cfb5888ef7c8,UPLOADED_VERIFIED_PRIVATE,
NOON-1100-03,greeting,GREETING_1100,图片和附件/image 25.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1100-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1100-03/v1.png,private-signed-url,2744248,1254,1254,26a9671698e658bf8c4e0c9f695c80cd40a0b73f116a5054ecbf54b1bfc054f3,UPLOADED_VERIFIED_PRIVATE,
